term,definition,canonical_spelling,category
requirements.txt,"Python dependencies file listing all required packages for the backend.","requirements.txt","File & Directory Terms"
package.json,"Node.js dependencies and metadata file for frontend and plugin projects.","package.json","File & Directory Terms"
Error Boundaries,"React components that catch and gracefully handle JavaScript errors in the frontend.","Error Boundaries","Error Handling & Debugging"
Structured Logging,"Consistent, JSON-formatted logging system (Structlog) used in the backend for debugging.","Structured Logging","Error Handling & Debugging"
Health Endpoints,"API endpoints for monitoring system status and availability.","Health Endpoints","Error Handling & Debugging"
Plugin Repair,"Feature allowing plugins to be reinstalled/fixed if they encounter issues.","Plugin Repair","Error Handling & Debugging"
Plugin Versioning,"System for tracking and managing different versions of installed plugins per user.","Plugin Versioning","Version & Release Terms"
Universal Lifecycle API,"Standardized REST endpoints that work with any plugin following the lifecycle interface.","Universal Lifecycle API","Version & Release Terms"
User-scoped,"Plugin installation model where each user controls their own plugin versions independently.","User-scoped","Version & Release Terms"
Hot-swap,"Ability to install/uninstall plugins without restarting the core application.","Hot-swap","Version & Release Terms"
